OrderId;Activity;Description;Plant;WorkCenter;Duration;DurationUnit;EarlSchedStartDate;EarlSchedStartTime;EarlSchedFinDate;EarlSchedFinTime
1000000000;0010;Eiusmod tempor incididunt;NEO3;WORK1;13;W;2023-07-25;11:59:12;2023-08-15;18:59:12
1000000000;0020;Reprehenderit in voluptate;NEO3;WORK1;19;W;2023-07-24;21:59:12;2023-08-18;19:59:12
1000000000;0030;Aliquip ex ea;NEO3;WORK1;98;H;2023-06-30;14:59:12;2023-07-12;05:59:12
1000000001;0010;Excepteur sint occaecat;NEO1;WORK9;38;W;2023-07-24;22:59:12;2023-08-02;22:59:12
1000000001;0020;Qui officia deserunt;NEO1;WORK9;86;M;2023-07-08;11:59:12;2023-07-24;11:59:12
1000000001;0030;Veniam quis nostrud;NEO1;WORK9;16;M;2023-07-14;10:59:12;2023-08-02;04:59:12
1000000001;0040;Excepteur sint occaecat;NEO1;WORK9;87;M;2023-07-23;20:59:12;2023-08-02;13:59:12
1000000001;0050;Commodo consequat Duis;NEO1;WORK9;42;H;2023-07-26;07:59:12;2023-08-14;06:59:12
1000000004;0010;Officia deserunt mollit;NEO3;WORK5;80;M;2023-07-15;02:59:12;2023-07-20;07:59:12
1000000004;0020;Nostrud exercitation ullamco;NEO3;WORK5;4;H;2023-07-23;17:59:12;2023-08-14;16:59:12
1000000004;0030;Ut aliquip ex;NEO3;WORK5;16;W;2023-07-14;05:59:12;2023-07-18;13:59:12
1000000004;0040;Et dolore magna;NEO3;WORK5;43;W;2023-07-15;09:59:12;2023-08-02;07:59:12
1000000004;0050;Esse cillum dolore;NEO3;WORK5;90;M;2023-07-15;03:59:12;2023-08-01;11:59:12
1000000005;0010;Voluptate velit esse;NEO1;WORK8;57;H;2023-07-13;17:59:12;2023-08-02;19:59:12
1000000005;0020;Ullamco laboris nisi;NEO1;WORK8;6;M;2023-07-08;15:59:12;2023-07-26;08:59:12
1000000005;0030;Eu fugiat nulla;NEO1;WORK8;59;H;2023-07-24;12:59:12;2023-08-03;10:59:12
